2,3,5,6,8
7,6,5,6,7
3,5,7,8,9
8,7,5,4,3
7,5,4,3,2
5,5,5,5,5
7,6,5,5,5
5,5,5,5,5
5,5,5,5,5
9,8,7,5,4
5,5,5,5,5
8,7,6,4,3
5,5,5,5,5
5,5,5,5,5
9,8,5,3,2
5,5,5,5,5
10,8,6,3,2
8,7,5,3,2
5,5,5,5,5
2,3,4,7,8
8,7,5,4,2
3,4,5,6,7
7,6,5,4,3
5,5,5,5,5
5,5,5,5,5
1,2,3,7,10
4,5,6,7,8
4,5,5,6,7
8,7,6,5,4
9,8,7,5,4
8,7,5,4,3
5,5,5,5,5
3,4,5,6,7
5,5,5,5,5
1,2,3,6,10
7,6,5,5,4
8,7,5,4,3
5,5,5,5,5
8,6,4,3,2
3,4,5,7,8
7,6,5,4,3
4,4,5,6,6
8,7,5,4,3
7,6,5,4,3
2,3,4,6,8
7,6,5,4,3
7,6,5,4,4
3,4,5,6,7
5,5,5,5,5
7,6,5,6,7
6,5,4,5,6
