5,5,10,5,5
2,2,5,5,8
5,8,2,5,5
5,5,5,5,5
5,5,3,9,5
5,5,5,5,5
2,2,4,8,2
3,3,3,7,7
5,6,5,5,2
5,5,8,5,5
5,5,7,5,7
5,5,8,5,5
5,5,10,5,5
5,5,5,5,2
5,5,5,5,5
5,8,1,5,5
8,5,5,5,2
5,5,7,5,7
5,5,5,5,5
5,5,8,5,5
5,5,5,5,5
5,5,10,5,5
10,5,5,5,5
5,7,5,5,5
1,2,3,8,2
5,5,5,5,5
5,5,5,5,5
5,5,3,5,5
5,5,1,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
7,5,5,5,7
5,2,5,7,2
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,2,5,5,3
5,3,5,8,1
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
7,5,5,5,7
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,3
3,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,8,5
5,5,5,7,8
8,5,5,5,5
7,5,5,5,5
