8,10,6,5,3
6,6,8,10,7
10,8,6,3,2
7,10,8,7,6
4,5,7,9,10
10,8,7,5,3
3,5,6,9,10
6,10,8,7,4
6,7,10,6,4
8,6,10,8,5
7,10,8,5,3
8,10,7,6,4
3,5,7,10,9
4,5,8,10,8
4,6,10,8,7
5,6,7,10,7
10,8,6,4,2
8,10,7,5,4
10,8,6,4,3
3,5,7,10,9
5,7,10,7,5
7,10,8,6,5
6,7,10,7,6
6,7,10,7,6
6,10,7,5,4
7,8,10,5,3
6,8,10,7,5
7,10,7,6,5
2,3,6,10,8
1,3,7,10,9
8,10,6,5,3
6,7,8,10,9
6,10,8,7,5
6,10,9,5,4
7,10,8,6,5
5,7,10,7,5
10,9,6,4,2
7,10,6,5,3
5,7,10,7,6
7,8,10,6,5
4,5,7,10,8
7,10,7,6,5
7,8,10,6,5
4,6,10,7,6
4,5,7,10,8
8,10,7,6,5
7,10,6,4,3
3,5,6,10,7
7,8,10,7,6
3,4,6,10,8
5,5,6,8,10
